시도,시군구,센터명,장소/위치,이용정원,연락처,위도,경도
충청남도,논산시,연무도서관,충청남도 논산시 연무읍 안심로47번길 6-11 논산 연무도서관 2층 디지털자료실,20명,041-415-1097~8,36.1262046393862,127.097362555759
광주광역시,동구,무꽃동 마을사랑채(학운동 마을사랑채),"광주광역시 동구 의재로43번길 6 (학동, 학동무등파크맨션)학운동 마을사랑채(무꽃동마을사랑채) 2층 다목적실",7명,062-224-0096,35.1330344593752,126.932978189367
서울특별시,성동구,성동구립금호도서관,서울특별시 성동구 난계로 20 (금호동1가)4층 교육실,10명,1544-9782,37.5541287328773,127.0248936259
대구광역시,중구,대봉1동 행정복지센터,대구광역시 중구 달구벌대로440길 27 (대봉동)대봉1동 행정복지센터  3층,8명,053-214-1801,35.8615446463773,128.604392135989
충청남도,천안시,시민문화여성회관,충청남도 천안시 서북구 성정중4길 29 (성정동)천안시 시민문화여성회관 ,20명,041-415-1097,36.8273847628624,127.136283812587
전라남도,장성군,장성군청,전라남도 장성군 장성읍 영천로 200 장성군청 4층 전산교육장,20명,1566-6105,35.3019123132952,126.78487673217
인천광역시,부평구,부평2동 행정복지센터,인천광역시 부평구 부영로 23 (부평동)부평2동 행정복지센터(정보화교실),10명,1644-5561,37.4874299813802,126.717202640298
서울특별시,중랑구,시립중랑노인종합복지관,서울특별시 중랑구 겸재로9길 45 (면목동)3층 교육실,10명,1544-9782,37.5884349591944,127.077841909247
서울특별시,강북구,솔샘문화정보도서관,서울특별시 강북구 솔샘로 177 (미아동)3층 제2교육장,10명,1544-9782,37.6204776505226,127.012402476037
경기도,김포시,풍무도서관,경기도 김포시 풍무로146번길 101 (풍무동)풍무도서관1층,16명,1600-6813,37.6076155517383,126.729148986191
충청남도,계룡시,엄사도서관,"충청남도 계룡시 엄사면 번영7길 17 엄사도서관 3층 코딩실, 시청각실",15명,041-415-1097~8,36.2870084464795,127.237920729471
서울특별시,은평구,은평구립도서관,서울특별시 은평구 통일로78가길 13-84 (불광동)지하1층,20명,1544-9782,37.6189785221501,126.928271924743
부산광역시,금정구,예일지역 아동센터,부산광역시 금정구 중앙대로 2003 (남산동)4층,10명,051-987-0201,35.2631914832902,129.091717609948
서울특별시,광진구,자양한강도서관,서울특별시 광진구 뚝섬로52길 66 (자양동)3층 교육실,10명,1544-9782,37.5292155199266,127.077667985801
충청남도,부여군,홍산공공도서관,충청남도 부여군 홍산면 홍산로 77-1 홍산공공도서관 2층 전산교육장,15명,041-415-1097~8,36.2167478479072,126.759532957872
대구광역시,달서구,달서생활문화센터송현점,대구광역시 달서구 앞산순환로 248 (송현동)달서생활문화센터 송현점 시청각실,10명,053-214-1801,35.8232403786948,128.557039480382
전라남도,해남군,해남군장애인종합복지관,전라남도 해남군 해남읍 신안길 2-20 1층,10명,1566-6105,34.5631860831924,126.607592784755
경기도,안산시,안산 소망의문화대학,경기도 안산시 상록구 평안로 47 (사동)안산 소망의문화대학  1층,10명,1600-6813,37.2823916753858,126.852752728014
부산광역시,영도구,영도구 평생학습관,부산광역시 영도구 와치로 259 (동삼동)영도놀이마루 1층 평생학습관,10명,070-5029-0817,35.075835328271,129.06904325717
전라남도,담양군,담양대덕면민의집,전라남도 담양군 대덕면 대조동1길 11 1층 다목적실,15명,1566-6105,35.249112130809,127.038960717871
부산광역시,북구,롯데캐슬카이저 커뮤니티센터,"부산광역시 북구 금곡대로 166 (화명동, 롯데캐슬카이저)롯데캐슬카이저 커뮤니티센터",10명,051-987-0201 ,35.2263603201003,129.012210130511
전라남도,영광군,영광선행공동체일곱빛깔,전라남도 영광군 군서면 천년로7길 45-2 영광선행공동체일곱빛깔 1층,20명,1566-6105,35.2597237560181,126.482197191241
경기도,안산시,백운동 행정복지센터,경기도 안산시 단원구 원선로 31 (원곡동)백운동 행정복지센터 ,10명,1600-6813,37.3280833512442,126.797046237958
충청북도,보은군,보은군노인장애인복지관,충청북도 보은군 보은읍 뱃들4길 11-10 2층 정보화실,25명,043-900-5006,36.4883642443476,127.723923323295
충청북도,청주시,청주열린도서관,충청북도 청주시 청원구 상당로 314 (내덕동)문화제조창 5층,10명,043-900-5006,36.6561955411291,127.492382358889
전라남도,광양시,광양향토청년회협동조합,전라남도 광양시 오류3길 18 (중동)3층 광양향토청년회협동조합,20명,박보미사무국장  010. 3494. 8024,34.9375943263198,127.69696782836
전라북도,전주시,안골노인복지관,전라북도 전주시 덕진구 안골1길 11 (인후동1가)2층,15명,1899-6222,35.8384537679268,127.157047165477
전라남도,함평군,함평군청,전라남도 함평군 함평읍 중앙길 200 별관 2층,30명,1566-6105,35.0658483478338,126.516218813393
제주특별자치도,서귀포시,남원읍 디지털배움터,제주특별자치도 서귀포시 남원읍 태신삼석로91번길 6 유어제주,10명,1899-8723,33.3005304927051,126.752564810793
인천광역시,미추홀구,옹진군청,인천광역시 미추홀구 매소홀로 120 (용현동)옹진군청 4층 전산교육장,10명,1644-5561,37.4465704652678,126.636745389227
충청북도,옥천군,옥천군노인장애인복지관,충청북도 옥천군 옥천읍 삼양로8길 9 3층 정보화교육실,15명,043-900-5006,36.3046043562385,127.569895208708
충청북도,제천시,제천시 실버복지관,충청북도 제천시 용두천로40길 28 (고암동),15명,043-900-5006,37.15608784596,128.218571885004
서울특별시,강서구,강서구립연지어르신복지센터,서울특별시 강서구 화곡로58길 30-7 (화곡동)1층,10명,1544-9782,37.5524146622014,126.85266278742
충청북도,청주시,청주시노인종합복지관,충청북도 청주시 상당구 대성로172번길 21 (수동),15명,043-900-5006,36.6412358645614,127.492925180419
인천광역시,서구,푸른숲작은도서관,인천광역시 서구 서달로49번길 10 (석남동)푸른숲작은도서관 (2층),5명,1644-5561,37.5030977323106,126.677371265119
서울특별시,종로구,종로구장애인가족지원센터,서울특별시 종로구 삼청로 91-1 (삼청동)2층,10명,1544-9782,37.5836833116408,126.981681297078
대구광역시,달서구,달서50플러스센터,대구광역시 달서구 성당로 17 (성당동)1층 교육장,61명,053-214-1801,35.8391464698556,128.558178702971
대전광역시,유성구,관평동행정복지센터,대전광역시 유성구 관평2로 42 (관평동)2층,10명,042-716-0198,36.4231717143954,127.388754613586
경기도,안산시,원곡동 행정복지센터,경기도 안산시 단원구 부부로 55 (원곡동)원곡동 행정복지센터,10명,1600-6813,37.3332892918149,126.790869980774
대구광역시,달서구,성서노인종합복지관,대구광역시 달서구 선원로 203 (용산동)2층 컴퓨터실,25명,053-214-1801,35.8595087940373,128.514922577605
강원도,원주시,영강쉐마학교,강원도 원주시 행구로 215 (행구동)쉐마학교 3층 7호 교실,15명,033-910-0833,37.3443925310621,127.980221526426
전라남도,목포시,목포여성인력개발센터,전라남도 목포시 통일대로37번길 34-1 (상동)1층,20명,1566-6105,34.801627931608,126.42708876976
인천광역시,계양구,효성노인문화센터,인천광역시 계양구 봉오대로 516 (효성동)효성노인문화센터 (2층 컴퓨터실),10명,1644-5561,37.5295966558067,126.706188886944
경기도,수원시,한국복지통신협의회,경기도 수원시 권선구 경수대로 401 (권선동)한국복지통신협의회 3층,10명,1600-6813,37.262601378213,127.024254427563
전라북도,완주군,완주군장애인복지관,전라북도 완주군 봉동읍 낙평장기로 22 1층,10명,1899-6222,35.9344326536127,127.165290895455
경상북도,칠곡군,칠곡군 동명면사무소,경상북도 칠곡군 동명면 금암중앙길 56 3층,2명,054-841-2182,35.9838996882121,128.553896412341
경기도,수원시,가족사랑교육원,경기도 수원시 팔달구 경수대로466번길 52 (인계동)드라마시티2층 206호,10명,1600-6813,37.2666663265708,127.029832740948
부산광역시,강서구,부산강서평생학습관,부산광역시 강서구 신호산단1로 60 (신호동)수협 2층,10명,070-5029-0817,35.0836914382516,128.872693482366
서울특별시,관악구,서울YWCA봉천종합사회복지관,서울특별시 관악구 관악로 254 (봉천동)YWCA봉천종합사회복지관 5층 주민동아리실,10명,1544-9782,37.4866851070806,126.95757608074
전라남도,목포시,목포시노인복지관,전라남도 목포시 호남로67번길 5 (호남동)2층,25명,1566-6105,34.7948186746523,126.385991688942
경상북도,경주시,경주시 서라벌대학,경상북도 경주시 태종로 516 (충효동)공학1관 309호,20명,054-841-2182,35.8384002004781,129.18317626124
전라북도,김제시,김제시보건소 ,전라북도 김제시 성산길 138 (요촌동)시민정보화교육장 3층 ,10명,1899-6222,35.8008069572784,126.883317277703
충청북도,괴산군,괴산생활문화센터,충청북도 괴산군 괴산읍 읍내로 266 후문 2층 정보화교육장,20명,043-900-5006,36.8068694566977,127.793852968909
부산광역시,기장군,정관읍 행정복지센터,부산광역시 기장군 정관읍 용수로 4 정관읍 행정복지센터 정보화교육장,10명,051-987-0201 ,35.3255025191562,129.18029172033
전라남도,여수시,여수한국복지통신협의회여수지회,전라남도 여수시 중앙로 10 (서교동)KT빌딩 3층,20명,1566-6105,34.7400858035845,127.72882211941
부산광역시,남구,기러기문화원,부산광역시 남구 수영로39번길 35 (문현동)기러기문화원,10명,070-5029-0817,35.1385661152178,129.072189696337
전라남도,해남군,해남군청,전라남도 해남군 해남읍 군청길 4 7층,10명,1566-6105,34.5731965868762,126.599959914844
전라남도,순천시,순천굿네이버스 전남지부,전라남도 순천시 연향번영길 102 (연향동)양천회관 3층,10명,1566-6105,34.9511394326776,127.518322877104
대구광역시,달서구,두류은빛복지관,대구광역시 달서구 두류길 141-8 (두류동)4층,10명,053-214-1801,35.8577731987934,128.567278500004
경기도,안산시,호수동 행정복지센터,경기도 안산시 단원구 광덕2로 125 (고잔동)호수동 행정복지센터,10명,1600-6813,37.3102809646094,126.824385612264
전라남도,장성군,장성군노인복지관(누리타운),"전라남도 장성군 장성읍 청운11길 11 장성군노인복지관(누리타운), 1층",10명,1566-6105,35.3042524225476,126.782441489727
부산광역시,기장군,사랑샘지역아동센터,부산광역시 기장군 정관읍 정관로 580 사랑샘프라자 3층 307호,29명,070-5029-0817,35.3206321107406,129.177080295577
서울특별시,종로구,종로노인종합 사회복지관 무악센터,서울특별시 종로구 통일로14길 30 (무악동)무악센터  2층,10명,1544-9782,37.575816548027,126.958022080228
서울특별시,동대문구,동대문노인종합복지관,서울특별시 동대문구 제기로33길 25 (청량리동)별관 2층,14명,1544-9782,37.5872413382227,127.049826506747
서울특별시,양천구,서서울어르신복지관,서울특별시 양천구 가로공원로60가길 16 (신월동)1층,20명,1544-9782,37.5342610593105,126.826765522574
부산광역시,사상구,사상구종합사회복지관,부산광역시 사상구 백양대로 527 (주례동)사상구종합사회복지관,15명,070-5029-0817,35.1554302845925,128.994783401706
광주광역시,북구,북구평생학습관,광주광역시 북구 향토문화로 65 (중흥동)북구평생학습관 3층 학습실,5명,062-224-0096,35.1728543359644,126.913651775033
인천광역시,미추홀구,미추홀구청,인천광역시 미추홀구 독정이로 95 (숭의동)4층 전산교육장,10명,1644-5561,37.4634778848565,126.650001282535
부산광역시,사하구,사하우체국,부산광역시 사하구 다대로 166 (신평동)사하우체국 4층 대회의실,10명,051-987-0201 ,35.0878542193431,128.977020309885
경상남도,김해시,김해시 여성센터,경상남도 김해시 신어산길 48컴퓨터교실,5명,055-213-2775,35.2581202766262,128.906791881476
경기도,의정부시,의정부시평생학습원,경기도 의정부시 의정로 165 (가능동)의정부시평생학습원 2층 비전학습실,10명,1600-6813,37.7477722313929,127.034244712628
제주특별자치도,제주시,전농로 디지털배움터,제주특별자치도 제주시 전농로 114 (이도일동)KT플라자 1층 시청각실,10명,1899-8723,33.5041483266317,126.525018424086
경상북도,고령군,고령군 대가야국악당,경상북도 고령군 대가야읍 지산길 7-8 국악당1층,30명,054-841-2182,35.7265800852281,128.263599941977
서울특별시,동작구,동작구장애인가족지원센터,"서울특별시 동작구 보라매로5가길 16 (신대방동, 보라매아카데미타워)5층",10명,1544-9782,37.4912751024086,126.924094714271
서울특별시,서초구,청룡마을 구립 경로당,서울특별시 서초구 청룡마을4길 15 (신원동)1층,10명,1544-9782,37.4473181357831,127.057906461465
서울특별시,중랑구,신내경로복지센터,서울특별시 중랑구 망우로65길 20 (신내동)3층 정보검색실,10명,1544-9782,37.601254103731,127.099946757985
강원도,횡성군,둔내면 행정복지센터,강원도 횡성군 둔내면 둔내로51번길 17 2층  건강달림방,15명,033-340-2771,37.5124086180172,128.218577463106
서울특별시,마포구,우리마포복지관,서울특별시 마포구 신촌로26길 10 (노고산동)3층,20명,1544-9782,37.5558509937606,126.942372609531
전라북도,전주시,한국장애인고용공단,전라북도 전주시 덕진구 백제대로 751 (인후동2가)한국장애인고용공단 14층,15명,1899-6222,35.8466784135264,127.150744775152
경기도,안산시,부곡종합사회복지관,경기도 안산시 상록구 성호로 303 (부곡동)부곡종합사회복지관 3층,10명,1600-6813,37.33018055668,126.858865975438
강원도,강릉시,구슬샘 문화창고,강원도 강릉시 동부시장3길 9 (옥천동)3층 교육실,15명,033-910-0833,37.7587548368554,128.900571863512
부산광역시,수영구,망미2동 행정복지센터,부산광역시 수영구 수미로35번길 40 (망미동)망미2동 행정복지센터,10명,070-5029-0817,35.1753268754923,129.115259749693
제주특별자치도,서귀포시,호근동복지회관,제주특별자치도 서귀포시 호근남로 6 (호근동)2층,10명,1899-8723,33.2569895001839,126.528052224287
전라북도,전주시,덕진구청,전라북도 전주시 덕진구 벚꽃로 55 (진북동)덕진구청 4층,10명,1899-6222,35.82932619271,127.135174585075
전라북도,전주시,한국복지정보통신협의회 전북지부,전라북도 전주시 완산구 팔달로 220 (서노송동)3층,10명,1899-6222,35.8219014445225,127.145885268859
제주특별자치도,서귀포시,상예정보화마을,제주특별자치도 서귀포시 존제로15번길 2 (상예동)마을회관 2층,10명,1899-8723,33.2657211324053,126.376962480463
서울특별시,중구,한국여성생활연구원,서울특별시 중구 명동길 80 (명동2가)가톨릭회관 522호 한국여성생활연구원,30명,1544-9782,37.5641696710243,126.987276699658
서울특별시,노원구,마들종합사회복지관,"서울특별시 노원구 동일로210길 22 (중계동, 중계주공1단지아파트)2층 정보화교실",10명,1544-9782,37.6469078098159,127.065216258015
대구광역시,동구,대구동구안심도서관,대구광역시 동구 금호강변로 360 (율하동)1층,10명,053-214-1801,35.8590217505691,128.701871950834
서울특별시,성북구,석관실버복지센터,서울특별시 성북구 화랑로32길 88 (석관동)1층 스마트정보화실,10명,1544-9782,37.606710875307,127.058248149071
대전광역시,유성구,유성구노인복지관,대전광역시 유성구 가정로 15 (신성동)1층,10명,042-716-0198,36.3845482889244,127.344025582837
강원도,춘천시,깨비지역아동센터,강원도 춘천시 효자로 90 (효자동)2층 교육실,10명,033-910-0833,37.8709286330559,127.732458134803
충청남도,홍성군,홍성종합사회복지관,충청남도 홍성군 홍성읍 조양로 91 홍성군스마트미디어주민이용센터 1층 전산교육장,10명,041-415-1097~98,36.6031910883976,126.660288108506
부산광역시,사하구,사하구다문화가족지원센터,부산광역시 사하구 신산로 177 (신평동)사하구다문화가족지원센터,8명,070-5029-0817,35.0902370684715,128.974957042393
제주특별자치도,제주시,용담다목적생활문화센터,제주특별자치도 제주시 용해로 80-10 (용담이동)용담다목적생활문화센터 2층,10명,1899-8723,33.5108445969153,126.50216354158
부산광역시,부산진구,양정어르신쉼센터,부산광역시 부산진구 양지로17번길 39 (양정동)양정어르신쉼센터,16명,070-5029-0817,35.17037693392,129.071086311977
경기도,안산시,안산용신배움터,경기도 안산시 단원구 다문화길 16 (원곡동)2층,10명,1600-6813,37.3294415109406,126.790603302048
전라북도,익산시,익산시립모현도서관,전라북도 익산시 선화로6길 7 (모현동1가)1층,15명,1899-6222,35.9498340760456,126.93645863985
충청남도,천안시,성성푸른도서관,"충청남도 천안시 서북구 성성6로 111 (성성동, 천안레이크타운푸르지오)Uz center 1층 성성푸른도서관",10명,041-415-1097(8),36.8425192661318,127.132245973401
경기도,수원시,행궁동어울림센터,경기도 수원시 팔달구 수원천로 351 (북수동)행궁동어울림센터 1층,10명,031-280-6334,37.2848131526187,127.017359210511
대전광역시,동구,용운종합사회복지관,대전광역시 동구 용운로 110 (용운동)용운종합사회복지관,10명,042-716-0198,36.3276574204784,127.454700942744
부산광역시,동구,동구도서관,부산광역시 동구 성북로36번길 54 (범일동)다목적강의실,10명,051-987-0201 ,35.1380655017794,129.052431223486
제주특별자치도,서귀포시,월평정보화마을,제주특별자치도 서귀포시 월평로 41 (월평동)월평다목적회관 2층,10명,1899-8723,33.2461211859365,126.460781129474
전라북도,전주시,양지노인복지관,전라북도 전주시 완산구 성지산로 55 (효자동1가)2층,15명,1899-6222,35.802094522879,127.123518440047
전라북도,남원시,남원 어린이청소년도서관 ,전라북도 남원시 역재3길 12 (도통동)남원시어린이청소년도서관,10명,1899-6222,35.4203021915021,127.399853258386
대구광역시,달서구,미로마을커뮤니티센터,대구광역시 달서구 두류길 141 (두류동)2층  프로그램실2,8명,053-214-1801,35.8580944320229,128.567280507333
경상남도,고성군,고성군 청소년센터 온,경상남도 고성군 고성읍 성내로 61고성군청소년센터 온 1층 숨고르기 교실,10명,055-213-2775,34.9768815610044,128.316323867445
서울특별시,성동구,성동구립 사근동노인복지센터,서울특별시 성동구 사근동길 37 (사근동)2층 교육실,10명,1544-9782,37.5614995718917,127.045325973415
대구광역시,중구,성내1동 행정복지센터,대구광역시 중구 동성로2길 7 (봉산동)성내1동 행정복지센터 2층 소회의실,8명,053-214-1801,35.8666439315952,128.595788621915
경기도,수원시,SK청솔노인복지관,경기도 수원시 장안구 장안로 174 (정자동)SK청솔노인복지관 1층,10명,1600-6813,37.2990243954773,126.997397867437
경기도,오산시,오산시청,경기도 오산시 성호대로 141 (오산동)4층 정보화교육장,20명,1600-6813,37.1490366159369,127.077663468393
대구광역시,수성구,고산2동 커뮤니티센터,대구광역시 수성구 알파시티2로9길 8 (시지동)3층 강의실,10명,053-214-1801,35.8389301180057,128.693915963555
서울특별시,중구,서울중앙우체국,"서울특별시 중구 소공로 70 (충무로1가)10층, 회의실",10명,02-6450-1114,37.5615987374058,126.982169090151
대구광역시,달서구,신당종합사회복지관,대구광역시 달서구 서당로 37 (신당동)신당종합사회복지관 별관 3층 교육장,15명,053-214-1801,35.8550992764011,128.495415988542
서울특별시,강남구,청담 평생 학습관 [체험존],서울특별시 강남구 학동로67길 11 (청담동)지하 1층 교실,10명,1544-9782,37.5190987146919,127.046440886765
인천광역시,부평구,백운 e-배움터 [체험존],인천광역시 부평구 마장로 82 (십정동)부평3동주민센터 4층 세미나실 안,10명,1644-5561,37.4860564022652,126.708273279763
전라북도,전주시,전주역 도시재생현장센터[체험존],전라북도 전주시 덕진구 백제대로 815 (우아동3가)1층,10명,1899-6222,35.8486929862775,127.157425127997
충청남도,당진시,당진시노인복지관[체험존],충청남도 당진시 시청1로 38 (수청동)당진시노인복지관 1층 로비,20명,041-415-1097(8),36.8916503203608,126.643443883053
전라남도,무안군,무안군삼향읍상생배움터[체험존],전라남도 무안군 삼향읍 후광대로 282 3층 교육장,20명,070-5117-4057,34.8139775009004,126.462385799871
경기도,오산시,오산노인종합복지관[체험존],경기도 오산시 수청로 192 (금암동)3층,10명,1600-6813,37.1777518091414,127.044835007329
서울특별시,종로구,종로노인종합 사회복지관,서울특별시 종로구 율곡로19길 17-8 (이화동)3층 스마트배움터,10명,1544-9782,37.5766679096376,127.006020606379
인천광역시,연수구,연수구청,인천광역시 연수구 원인재로 115 (동춘동)연수구청 5층 전산교육장,20명,1644-5561,37.409493814977,126.678337878586
충청남도,논산시,충남직업능력개발센터,충청남도 논산시 은진면 대학로 118 3층,15명,041-415-1097,36.1802837128663,127.110871468492
울산광역시,남구,울산푸른학교,울산광역시 남구 월평로 64 (신정동)3층,10명,1600-6408,35.5418784649623,129.31260828216
경상북도,문경시,문경시노인복지관[체험존],경상북도 문경시 점촌5길 20 (점촌동)1층 로비,6명,054-841-2182,36.5974858145154,128.19849015095
제주특별자치도,제주시,신촌새마을작은도서관,제주특별자치도 제주시 조천읍 신촌서5길 63 2층 프로그램실,10명,1899-8723,33.5345951252777,126.614626401888
인천광역시,계양구,계양구청 평생학습관 [체험존],인천광역시 계양구 계산새로 88 (계산동)계양구청 6층 평생학습관 복도,10명,1644-5561,37.5374405601649,126.737760072912
충청남도,보령시,보령노인종합복지관[체험존],충청남도 보령시 대천로 113 (죽정동)보령노인종합복지관 2층 컴퓨터실,20명,041-415-1097(8),36.3560491700021,126.603898273425
대전광역시,서구,소상공인대전교육장,대전광역시 서구 대덕대로 227 (둔산동)11층,10명,042-716-0198,36.35313462187,127.378919631655
경상남도,의령군,의령군 동부사회복지관[체험존],경상남도 의령군 부림면 신번로 181 2층,10명,055-213-2775,35.4693783237871,128.324496062222
충청남도,공주시,공주교육대학교,충청남도 공주시 웅진로 27 (봉황동)공주대학교 청목관 201호,20명,041-415-1097~8,36.4452038483364,127.119655178765
전라남도,순천시,순천용당노인복지관[체험존],전라남도 순천시 용당신흥길 66 (용당동)순천용당노인복지관 2층 로비,10명,1566-6105,34.9680700241428,127.490180771186
서울특별시,노원구,서울시립상이군경복지관,서울특별시 노원구 덕릉로70가길 73 (상계동)보훈관 2층 정보화교육장,10명,1544-9782,37.6428169662136,127.057634112639
충청북도,청주시,청주시장애인종합복지센터,충청북도 청주시 흥덕구 무심서로 851 (신봉동)청주시장애인종합복지센터,15명,043-900-5006,36.6627042133035,127.465529662633
광주광역시,동구,학동 마을사랑채,광주광역시 동구 제봉로17번길 18-6 (학동)학동 마을사랑채 다목적실,5명,062-224-0096,35.139299613984,126.920810420466
경상남도,양산시,양산시 비즈니스센터[체험존],경상남도 양산시 중앙로 33-2 (다방동)양산비즈니스센터 3층 정보화교육장,15명,055-213-2775,35.3340145881105,129.037839221043
서울특별시,광진구,중곡문화체육센터 도서관,서울특별시 광진구 능동로 433 (중곡동)3층 소강의실,10명,1544-9782,37.5677792027828,127.08480243017
충청남도,홍성군,홍성노인종합복지관[체험존],충청남도 홍성군 홍성읍 내포로146번길 30-11 홍성노인종합복지관 로비,20명,041-415-1097(8),36.5971546382478,126.654646348635
서울특별시,성동구,성동노인종합복지관,서울특별시 성동구 마조로 77 (마장동)2층 컴퓨터실,20명,1544-9782,37.5647846611665,127.041239858501
강원도,원주시,원주시노인종합복지관[체험존],강원도 원주시 동부순환로 9-6 (단구동)1층 로비,20명,033-910-0833,37.3186589793735,127.969307382048
전라남도,완도군,완도군청[체험존],전라남도 완도군 완도읍 청해진남로 51 완도군청 1층 로비,10명,1566-6105,34.3109724416379,126.754961267544
대전광역시,유성구,전민평생학습센터,대전광역시 유성구 엑스포로 438 (문지동)2층 정보화실,10명,042-716-0198,36.3952806822256,127.40522388893
부산광역시,영도구,영도구 벽산비치타운 커뮤니티,"부산광역시 영도구 와치로 266 (동삼동, 영도벽산비치타운)벽산비치타운 커뮤니티",10명,051-987-0201,35.0754307334395,129.069474367541
부산광역시,강서구,부산국회도서관,부산광역시 강서구 명지국제1로 161 (명지동)부산국회도서관,10명,051-987-0201 ,35.1035129087656,128.904397344017
전라남도,장흥군,장흥군노인복지관[체험존],전라남도 장흥군 장흥읍 동교1길 57 장흥군노인복지관 1층 휴게공간,10명,1566-6105,34.6789589634851,126.911026550629
충청남도,예산군,예산군 노인종합복지관,충청남도 예산군 예산읍 벚꽃로 214-11 예산군 노인종합복지관 2층 정보화교육장,15명,041-415-1097(~1098),36.6995847251257,126.839278384209
강원도,평창군,봉평노인복지회관[체험존],강원도 평창군 봉평면 기풍로 121 봉평노인복지회관 내,10명,033-910-0833,37.6130345290949,128.377695943762
경상남도,함안군,함안군청[체험존],경상남도 함안군 가야읍 말산로 1 3층,10명,055-213-2775,35.2725109179928,128.406549058891
전라남도,목포시,목포어린이도서관[체험존],전라남도 목포시 옥암로186번길 30-7 (석현동)1층 휴게실,10명,1566-6105,34.8148308846959,126.425602450592
경기도,부천시,상동도서관[체험존],경기도 부천시 상이로 12 (상동)3층 휴게실,10명,1600-6813,37.4901397739331,126.744750811116
제주특별자치도,제주시,외도다목적생활문화센터,제주특별자치도 제주시 우정로15길 42-7 (외도일동)외도다목적생활문화센터 2층,10명,1899-8723,33.4885157322851,126.433476105634
대구광역시,달성군,다온청소년사랑나눔,대구광역시 달성군 다사읍 서재로 144 ,8명,053-214-1801,35.8762953169482,128.49733114563
전라남도,함평군,함평군노인복지관[체험존],전라남도 함평군 함평읍 들샘길 36 함평군노인복지관 1층 로비,10명,1566-6105,35.0612624607709,126.521965153848
충청북도,보은군,보은군청,충청북도 보은군 보은읍 군청길 38-1 1층  정보화교육장(보은군주민정보화교육장),10명,043-900-5006,36.4881945552377,127.729118669695
경기도,양평군,강하주민자치센터,경기도 양평군 강하면 운심길 78-2 강하주민자치센터1층,10명,1600-6813,37.4960888473028,127.414774204833
충청북도,제천시,제천시노인종합복지관,충청북도 제천시 의림대로 174 (중앙로2가),15명,043-900-5006,37.1427445657144,128.213623643748
전라북도,익산시,익산시 평생학습관[체험존],전라북도 익산시 선화로 133 (모현동1가)평생학습관 1층,10명,1899-6222,35.9481751583151,126.945428225265
서울특별시,은평구,응암정보도서관,서울특별시 은평구 가좌로7길 15 (응암동)1층,8명,1544-9782,37.5859660215622,126.919680927881
경기도,의정부시,송산노인종합복지관[체험존],경기도 의정부시 용민로 99 (민락동)송산노인종합복지관 3층 강당,10명,1600-6813,37.7388886171301,127.088758175165
강원도,춘천시,춘천동부노인복지관[체험존],강원도 춘천시 동면 세실로 250 춘천동부노인복지관,10명,033-910-0833,37.8798951701837,127.757874010167
전라남도,담양군,담양창평면사무소[체험존],전라남도 담양군 창평면 돌담길 9 창평면사무소 1층 민원실,10명,1566-6105,35.238893818653,127.019084384712
강원도,양구군,양구 문화복지센터[체험존],강원도 양구군 양구읍 비봉로73번길 52 1층 로비,10명,033-910-0834,38.1090100528819,127.983922342503
서울특별시,영등포구,여의도어르신복지센터 [체험존],서울특별시 영등포구 여의대방로 372 (여의도동)2층,20명,1544-9782,37.5181419532174,126.930770593981
경상북도,청도군,청도군청[체험존],경상북도 청도군 화양읍 청화로 70 청도군청(지하1층 상황실),6명,054-841-2182,35.647252575783,128.733999266077
대전광역시,유성구,노은3동행정복지센터,대전광역시 유성구 지족동로 145 (지족동)2층,10명,042-716-0198,36.3868076851706,127.307904836515
충청남도,아산시,아산시다문화센터 외국인 배움터,충청남도 아산시 온천대로 1496 (온천동)1층 아산시다문화센터 외국인배움터,15명,041-415-1097(8),36.7804682813951,127.003451110541
강원도,삼척시,삼척시 평생학습관[체험존],강원도 삼척시 청석로3길 16-41 (교동)1층 공용PC실 옆,10명,033-910-0834,37.449125551405,129.178030798195
전라북도,무주군,무주군 평생교육원 ,전라북도 무주군 무주읍 한풍루로 326-36 2층,10명,1899-6222,36.0021711302284,127.664118279917
충청남도,태안군,솔로몬지역아동센터,충청남도 태안군 근흥면 도황길 185-12 솔로몬지역아동센터,10명,041-415-1097,36.6990386408824,126.202586936737
서울특별시,종로구,종로노인종합 사회복지관 [체험존],서울특별시 종로구 율곡로19길 17-8 (이화동)3층 스마트배움터,10명,1544-9782,37.5766679096376,127.006020606379
경상북도,구미시,구미시 종합비지니스지원센터[체험존],경상북도 구미시 구미대로 350-27 (신평동)금오테크노밸리 구미시종합비지니스지원센터(지하1층),6명,054-841-2182,36.1192104205531,128.365688301138
서울특별시,마포구,성산1동주민센터 [체험존],서울특별시 마포구 성산로4길 15 (성산동)주민센터 4층(성산1동정보화교육장),24명,1544-9782,37.563368493241,126.907895665906
서울특별시,영등포구,신길3동주민자치회관,서울특별시 영등포구 신길로41라길 13-8 (신길동)신길3동 주민센터2층,10명,1544-9782,37.5072986726821,126.907749593982
경상북도,울진군,남울진민원센터[체험존],경상북도 울진군 평해읍 월송정로 103 남울진민원센터(3층 전산교육장 내),6명,054-841-2182,36.7246591063682,129.441435235455
경기도,수원시,대추골도서관,경기도 수원시 장안구 수일로 164 (조원동)대추골도서관 지하1층,10명,031-228-4816,37.3066089802358,127.008095496831
